cnvcAirport3Code,cnvcName,cnvcEnglishName,cnvcPinYin,cnvcShortPinYin,cniNationTypeID
PDX,波特兰,Portlandor,BoTeLan,BTL,2
PEI,佩雷拉,Pereira,PeiLeiLa,PLL,2
PEK,北京,Beijing,BeiJing,BJ,1
PEN,槟城,Penang,ZuoCheng,ZC,2
PER,珀斯,Perth,ZuoSi,ZS,2
PHC,哈科特港,Portharcourt,HaKeTeGang,HKTG,2
PHL,费城,Philadelphia,FeiCheng,FC,2
PHN,休伦港,Port Huron,XiuLunGang,XLG,2
PHX,菲尼克斯,Phoenix,FeiNiKeSi,FNKS,2
PIK,普勒斯威克,Prestwick,pulesiweike,PLSWK,2
PIT,匹兹堡,Pittsburgh,PiZiBao,PZB,2
PLQ,帕兰加,Palanga,PaLanJia,PLJ,2
PMI,帕尔马马拉尔克,Palma De Mallorca,PaErMaMaLaErKe,PEMMLEK,2
PMO,巴勒莫,Palermo,BaLeMo,BLM,2
PNH,金边,Phnom Penh,JinBian,JB,2
PNJ,蓬莱,Penglai,PengLai,PL,1
PNR,黑角,Pointenoire,HeiJiao,HJ,1
PNS,彭萨科拉,Pensacola,PengSaKeLa,PSKL,2
POP,普拉塔港,Puerto Plata Gregorio Luperon,PuLaTaGang,PLTG,2
POS,西班牙港机场,Piarco ,XiBanYaGangJiChang,XBYGJC,2
POZ,波兹南机场,Poznan,BoZiNanJiChang,BZNJC,2
PPT,法阿国际机场,Aéroport International Tahiti Faa'a,FaAGuoJiJiChang,FAGJJC,2
PQC,富国岛,Phu Quoc Intl,FuGuoDao,FGD,2
PRG,布拉格,Prague,BuLaGe,BLG,2
PRN,南斯拉夫,Pristina,NanSiLaFu,NSLF,2
PSA,比萨,Pisa,BiSa,BS,2
PTY,巴拿马城,Panama City,BaNaMaCheng,BNMC,2
PUJ,卡纳角,Punta Cana,KaNaJiao,KNJ,2
PUS,釜山,Pusan,FuShan,FS,2
PVD,普罗维登斯,Theodore Francis,PuLuoWeiDengSi,PLWDS,2
PVG,上海浦东,Shanghaipudong,ShangHaiPuDong,SHPD,1
PVR,巴亚尔塔港,Puerto Escondido,BaYaErTaGang,BYETG,2
PZI,攀枝花,Panzhihua,PanZhiHua,PZH,1
QGY,杰尔,Gyorbus,JieEr,JE,2
